Time (Seconds), 0 RightEyeX, 0 RightEyeY, 0 RightEyeZ, 0 LeftEyeX, 0 LeftEyeY, 0 LeftEyeZ, 0 RightPupilX, 0 RightPupilY, 0 RightPupilZ, 0 LeftPupilX, 0 LeftPupilY, 0 LeftPupilZ, 0 VergenceX, 0 VergenceY, 0 VergenceZ, 0 HeadX, 0 HeadY, 0 HeadZ, 0 HeadRotationX, 0 HeadRotationY, 0 HeadRotationZ, 2 RightEyeX, 2 RightEyeY, 2 RightEyeZ, 2 LeftEyeX, 2 LeftEyeY, 2 LeftEyeZ, 2 RightPupilX, 2 RightPupilY, 2 RightPupilZ, 2 LeftPupilX, 2 LeftPupilY, 2 LeftPupilZ, 2 VergenceX, 2 VergenceY, 2 VergenceZ, 2 HeadX, 2 HeadY, 2 HeadZ, 2 HeadRotationX, 2 HeadRotationY, 2 HeadRotationZ, StandardDeviation Absolute, StandardDeviationX, StandardDeviationY, StandardDeviationZ, StandardDeviation Sample Size, 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.07300755, 1.158004, -0.972502, 0.1349632, 1.154387, -0.9610418, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.1039854, 1.156195, -0.9667719, -0.2907562, 3.28459, 0.1024245, , , , , , 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.07026988, 1.159337, -0.9752856, 0.1323609, 1.155841, -0.964543, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.1013154, 1.157589, -0.9699143, -0.2805472, 3.297334, 0.1022877, 0, 0, 0, 0, 0, 
0.0166667, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.06813468, 1.159032, -0.9753234, 0.1302577, 1.155937, -0.9646429, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.09919621, 1.157485, -0.9699832, -0.2897468, 3.299224, 0.09789706, , , , , , 
0.0333334, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.06467607, 1.159552, -0.9777, 0.1267062, 1.156561, -0.9664643, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.09569112, 1.158057, -0.9720821, -0.2878423, 3.291271, 0.09351784, , , , , , 
0.0500001, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.06136165, 1.163548, -0.9845584, 0.1231953, 1.158569, -0.9729508, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.09227848, 1.161059, -0.9787546, -0.2967893, 3.275102, 0.1232013, , , , , , 
0.0666668, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.04908393, 1.162969, -0.9943008, 0.1105106, 1.157654, -0.9808308, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.07979725, 1.160311, -0.9875658, -0.3095509, 3.242893, 0.1208101, , , , , , 
0.08333351, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.04697725, 1.161765, -0.9942787, 0.1084844, 1.157295, -0.9808694, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.06209597, 1.151281, -0.9367964, 0.07773081, 1.15953, -0.987574, -0.309323, 3.248183, 0.1083764, 0, 0, 0, 0, 0, 
0.1000002, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.0459571, 1.161763, -0.9953453, 0.1074167, 1.157795, -0.9815651, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.03678529, 1.124146, -0.851974, 0.0766869, 1.159779, -0.9884552, -0.306893, 3.245204, 0.0987321, , , , , , 
0.1166669, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, 0.04522122, 1.162529, -0.9958273, 0.1064901, 1.157242, -0.9816465, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0.01045554, 1.095009, -0.761022, 0.07585566, 1.159885, -0.9887369, -0.3054, 3.232445, 0.1165051, , , , , , 
0.1333336, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , 0, 0, 0, 0, 0, 
